id,name,description,type,source_url,image_url,image_path
316,Direction à suivre pour rencontrer le service annoncé : à gauche,Direction à suivre pour rencontrer le service annoncé : à gauche — panneau issu du Code de la route (liste des panneaux).,liste_des_panneaux,https://fr.wikibooks.org/wiki/Code_de_la_route/Liste_des_panneaux,https://upload.wikimedia.org/wikipedia/commons/0/08/France_road_sign_M8e.svg,images\France_road_sign_M8e.svg
130,Directions obligatoires à la prochaine intersection : tout droit ou à droite,Directions obligatoires à la prochaine intersection : tout droit ou à droite — panneau issu du Code de la route (liste des panneaux).,liste_des_panneaux,https://fr.wikibooks.org/wiki/Code_de_la_route/Liste_des_panneaux,https://upload.wikimedia.org/wikipedia/commons/7/72/France_road_sign_B21d1.svg,images\France_road_sign_B21d1.svg
131,Directions obligatoires à la prochaine intersection : tout droit ou à gauche,Directions obligatoires à la prochaine intersection : tout droit ou à gauche — panneau issu du Code de la route (liste des panneaux).,liste_des_panneaux,https://fr.wikibooks.org/wiki/Code_de_la_route/Liste_des_panneaux,https://upload.wikimedia.org/wikipedia/commons/e/e3/France_road_sign_B21d2.svg,images\France_road_sign_B21d2.svg
132,Directions obligatoires à la prochaine intersection : à gauche ou à droite,Directions obligatoires à la prochaine intersection : à gauche ou à droite — panneau issu du Code de la route (liste des panneaux).,liste_des_panneaux,https://fr.wikibooks.org/wiki/Code_de_la_route/Liste_des_panneaux,https://upload.wikimedia.org/wikipedia/commons/4/41/France_road_sign_B21e.svg,images\France_road_sign_B21e.svg
310,Distance,Distance — panneau issu du Code de la route (liste des panneaux).,liste_des_panneaux,https://fr.wikibooks.org/wiki/Code_de_la_route/Liste_des_panneaux,https://upload.wikimedia.org/wikipedia/commons/d/d3/France_road_sign_M1.svg,images\France_road_sign_M1.svg
351,Distance comprise entre le signal et l’endroit où le conducteur doit marquer l’arrêt et céder le passage,Distance comprise entre le signal et l’endroit où le conducteur doit marquer l’arrêt et céder le passage — panneau issu du Code de la route (liste des panneaux).,liste_des_panneaux,https://fr.wikibooks.org/wiki/Code_de_la_route/Liste_des_panneaux,https://upload.wikimedia.org/wikipedia/commons/3/33/France_road_sign_M5.svg,images\France_road_sign_M5.svg
302,Distributeur automatique de billets de banque,Distributeur automatique de billets de banque — panneau issu du Code de la route (liste des panneaux).,liste_des_panneaux,https://fr.wikibooks.org/wiki/Code_de_la_route/Liste_des_panneaux,https://upload.wikimedia.org/wikipedia/commons/9/94/France_road_sign_ID32.svg,images\France_road_sign_ID32.svg
242,Distributeur de billets de banque,Distributeur de billets de banque — panneau issu du Code de la route (liste des panneaux).,liste_des_panneaux,https://fr.wikibooks.org/wiki/Code_de_la_route/Liste_des_panneaux,https://upload.wikimedia.org/wikipedia/commons/c/cd/France_road_sign_CE25.svg,images\France_road_sign_CE25.svg
8,Dos d'âne ou cassis,Dos d'âne ou cassis — panneau issu du Code de la route (liste des panneaux).,liste_des_panneaux,https://fr.wikibooks.org/wiki/Code_de_la_route/Liste_des_panneaux,https://upload.wikimedia.org/wikipedia/commons/1/1c/France_road_sign_A2a.svg,images\France_road_sign_A2a.svg
318,Du côté droit du panneau,Du côté droit du panneau — panneau issu du Code de la route (liste des panneaux).,liste_des_panneaux,https://fr.wikibooks.org/wiki/Code_de_la_route/Liste_des_panneaux,https://upload.wikimedia.org/wikipedia/commons/0/09/France_road_sign_M8d.svg,images\France_road_sign_M8d.svg
